"Breed","DeSexed","Dangerous","Menacing","Sex","MicroChipped"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","No","No","No","Female","No"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Female","No"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Female","No"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","Yes","Male","No"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","No"
"All cross breeds","No","No","No","Female","No"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","No","No","No","Male","No"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","No","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","Yes","Female","Yes"
"All cross breeds","Yes","No","No","Female","Yes"
"All cross breeds","No","No","No","Female","Yes"
"All cross breeds","Yes","No","No","Male","Yes"
"All cross breeds","Yes","No","No","Female","No"
"All cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","Yes","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","Yes","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","Yes","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","Yes","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","Yes","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","No"
